AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400725,FMCC TECH-Lane NSF ATE Project,9/1/14,8/31/17,397673,Standard Grant,Zachary Carrico;Jeremy Spraggs;,Fulton-Montgomery Community College
1400740,Free Resolutions and Representation Theory,7/1/14,6/30/17,192444,Continuing grant,Jerzy Weyman;,University of Connecticut
1400761,PostDoctoral Research Fellowship,7/1/14,6/30/18,150000,Fellowship,HIROAKI TANAKA;,TANAKA HIROAKI
1400769,"Digitization TCN: Collaborative: Documenting the Occurrence through Space & Time of Aquatic Non-indigenous Fish, Mollusks, Algae, & Plants Threatening North America's Great Lakes",6/15/14,5/31/17,98042,Standard Grant,David Seigler;Kevin Cummings;Brenda Molano-Flores;Christopher Taylor;Loy Phillippe;,University of Illinois at Urbana-Champaign
1400779,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Karol Koziol;,Koziol Karol
1400780,Garden State LSAMP Phase II,7/15/14,6/30/19,700000,Continuing grant,Robert Prezant;Alexander Gates;Jeffrey Toney;Gregory Jackson;,Rutgers University Newark
1400783,LSAMP Bridge to the Doctorate 2014-16 at UMCP,6/1/14,5/31/16,987000,Standard Grant,Taifa Simpson;Freeman Hrabowski;Cynthia HILL;Rosemary Parker;,University of Maryland Baltimore County
1400784,A Grammar-Based Approach to Visual-Haptic Object Perception,9/1/14,8/31/17,399049,Standard Grant,Robert Jacobs;,University of Rochester
1400787,NSF Postdoctoral Fellowship in Biology FY 2014,2/1/15,1/31/17,138000,Fellowship,Ross Cunning;,Cunning Ross
1400789,California LSAMP Bridge to the Doctorate (BD) Activity,7/15/14,6/30/16,987000,Standard Grant,Howard Gillman;Tama Hasson;,University of California-Irvine
1400792,LSAMP Bridge to the Baccalaureate: North Carolina STEM Alliance (NCSA),2/15/15,1/31/18,499920,Continuing grant,Paul Zeiss;Bruce Johnson;Kiani Gardner;Dana Jafroodi;,Central Piedmont Community College
1400800,Additive Manufacturing of Metal Parts by Electrochemical Deposition,4/15/14,3/31/16,259434,Standard Grant,Sundaram Murali Meenakshi;,University of Cincinnati Main Campus
1400802,CHS: Medium: Collaborative Research: Immediate Feedback to Support Learning American Sign Language through Multisensory Recognition,9/1/14,8/31/18,557918,Standard Grant,YingLi Tian;,CUNY City College
1400805,Collaborative Research: Mio-Pliocene evolution of the Indian summer monsoon recorded in the Bengal Fan,7/1/14,6/30/16,135809,Standard Grant,Valier Galy;,Woods Hole Oceanographic Institution
1400810,CHS: Medium: Collaborative Research: Immediate Feedback to Support Learning American Sign Language through Multisensory Recognition,9/1/14,8/31/18,120000,Standard Grant,Elaine Gale;,CUNY Hunter College
1400815,2014-2019 Wisconsin Louis Stokes Alliance for Minority Participation-WiscAMP - Senior Level Alliance,8/1/14,7/31/19,2500000,Continuing grant,Paul DeLuca;Douglass Henderson;Manuela Romero;Mary Carnes;Gail Coover;,University of Wisconsin-Madison
1400818,NSF NPGI Postdoctoral Fellowship in Biology FY 2014,9/1/14,8/31/17,216000,Fellowship,Dana Freund;,Freund Dana M
1400820,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Galyna Dobrovolska;,Dobrovolska Galyna
1400822,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Boris Hanin;,Hanin Boris L
1400837,2014-2016 Florida-Georgia Louis Stokes Alliance for Minority Participation Bridge to the Doctorate at the University of South Florida,8/1/14,7/31/16,987000,Standard Grant,Ralph Turner;Thomas Weller;,Florida Agricultural and Mechanical University
1400850,I-Corps: Software for Emergency Preparedness for Dam or Levee Failure,1/1/14,6/30/15,50000,Standard Grant,M. Chaudhry;,University of South Carolina at Columbia
1400859,Combinatorics of discrete surfaces,9/1/14,8/31/17,140000,Standard Grant,Olivier Bernardi;,Brandeis University
1400860,Early Grant in Exploratory Research: Acquisition and analysis of sediment cores from the eastern tropical Indian Ocean,12/1/13,11/30/15,35272,Standard Grant,Christopher Charles;,University of California-San Diego Scripps Inst of Oceanography
1400868,Puerto Rico LSAMP Senior Alliance (2014-2019): Expanding Opportunities for Underrepresented College Students in 2-and 4-year STEM Programs,8/1/14,7/31/19,800000,Continuing grant,Jack Allison;Celeste Freytes;Antonio Martinez;Uroyoan Walker;,University of Puerto Rico
1400870,The University of Puerto Rico Bridge to the Doctorate Initiative: Providing Multidisciplinary Training in STEM Disciplines at the PhD Level (Cohort X),7/15/14,6/30/16,987000,Standard Grant,Celeste Freytes;Antonio Martinez;Uroyoan Walker;,University of Puerto Rico
1400872,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Blake Barker;,Barker Blake H
1400876,Sphere packings and related extremal problems,8/1/14,7/31/17,107365,Continuing grant,Oleg Musin;Alexey Glazyrin;,University of Texas at Brownsville
1400881,I-Corps: Shrinkage Reducing Admixture Business Development,1/1/14,6/30/15,50000,Standard Grant,Joseph Biernacki;,Tennessee Technological University
1400885,MALDI-based Research-like Experiences in a 2YC/4YC Collaboration with a Renewable Fuels Industry Partner,7/1/14,6/30/17,128253,Standard Grant,Jennifer Grant;Christopher Lutz;,Anoka-Ramsey Community College
